Disease_Label,Symptom_Text
Sốt xuất huyết,"buồn nôn, lừ đừ, ớn lạnh, chảy máu chân răng, xuất huyết dưới da"
Sốt xuất huyết,"hay bị phát ban, mệt mỏi, đau hốc mắt, chán ăn"
Sốt xuất huyết,"buồn nôn, mệt mỏi, buồn nôn, đau đầu, suy nhược, chóng mặt"
Sốt xuất huyết,"chảy máu chân răng, đau đầu, chán ăn, ớn lạnh"
Sốt xuất huyết,"buồn nôn, xuất huyết dưới da, sốt, chảy máu chân răng, khó chịu trong người"
Sốt xuất huyết,"sốt, chảy máu chân răng, suy nhược, ớn lạnh, khó chịu trong người"
Sốt xuất huyết,"bác sĩ ơi tôi bị suy nhược, buồn nôn, mệt mỏi, sốt cao liên tục, đau đầu, phát ban"
Sốt xuất huyết,"tôi bị đau hốc mắt, sốt, nhức mỏi cơ, mệt mỏi"
Sốt xuất huyết,"dấu hiệu mệt mỏi, sốt cao liên tục, đau đầu, nhức mỏi cơ"
Sốt xuất huyết,"khó chịu trong người, buồn nôn, ớn lạnh, suy nhược, nôn mửa, phát ban"
Sốt xuất huyết,"mấy hôm nay tôi bị chán ăn, buồn nôn, mất ngủ, sốt cao liên tục"
Sốt xuất huyết,"tự nhiên bị phát ban, nhức mỏi cơ, đau đầu, mệt mỏi"
Sốt xuất huyết,"dấu hiệu lừ đừ, phát ban, khó chịu trong người"
Sốt xuất huyết,"bác sĩ ơi tôi bị chóng mặt, chán ăn, khó chịu trong người"
Sốt xuất huyết,"ớn lạnh, lừ đừ, đau đầu, xuất huyết dưới da, chán ăn"
Sốt xuất huyết,"bác sĩ ơi tôi bị sốt, nhức mỏi cơ, ớn lạnh, đau đầu, chảy máu chân răng, buồn nôn"
Sốt xuất huyết,"nôn mửa, đau đầu, khó chịu trong người, đau quặn bụng, mất ngủ, ớn lạnh"
Sốt xuất huyết,"có triệu chứng buồn nôn, lừ đừ, mất ngủ, xuất huyết dưới da, nôn mửa"
Sốt xuất huyết,"đau hốc mắt, chán ăn, buồn nôn, suy nhược, sốt"
Sốt xuất huyết,"đau hốc mắt, nôn mửa, mệt mỏi, sốt"
Sốt xuất huyết,"mất ngủ, khó chịu trong người, buồn nôn, suy nhược, lừ đừ, sốt cao liên tục"
Sốt xuất huyết,"có triệu chứng suy nhược, nôn mửa, ớn lạnh"
Sốt xuất huyết,"đau đầu, buồn nôn, chán ăn, ớn lạnh, mệt mỏi, phát ban"
Sốt xuất huyết,"suy nhược, ớn lạnh, đau hốc mắt, sốt, chán ăn, sốt cao liên tục"
Sốt xuất huyết,"chán ăn, nhức mỏi cơ, khó chịu trong người, ớn lạnh"
Sốt xuất huyết,"phát ban, mất ngủ, buồn nôn, suy nhược"
Sốt xuất huyết,"mất ngủ, đau quặn bụng, ớn lạnh"
Sốt xuất huyết,"có triệu chứng buồn nôn, mệt mỏi, mất ngủ, sốt, xuất huyết dưới da"
Sốt xuất huyết,"dấu hiệu lừ đừ, chán ăn, buồn nôn, suy nhược"
Sốt xuất huyết,"tôi bị chán ăn, nôn mửa, đau đầu"
Sốt xuất huyết,"suy nhược, chảy máu chân răng, sốt, chán ăn, đau đầu"
Sốt xuất huyết,"chán ăn, sốt cao liên tục, lừ đừ, xuất huyết dưới da, suy nhược, đau đầu"
Sốt xuất huyết,"nôn mửa, buồn nôn, mệt mỏi, chán ăn"
Sốt xuất huyết,"mấy hôm nay tôi bị đau đầu, sốt cao liên tục, sốt, khó chịu trong người, mệt mỏi, phát ban"
Sốt xuất huyết,"có triệu chứng chán ăn, khó chịu trong người, nhức mỏi cơ, đau hốc mắt, mệt mỏi"
Sốt xuất huyết,"mệt mỏi, sốt, phát ban, ớn lạnh"
Sốt xuất huyết,"lừ đừ, mệt mỏi, chóng mặt, đau hốc mắt"
Sốt xuất huyết,"xuất huyết dưới da, suy nhược, sốt"
Sốt xuất huyết,"cảm thấy suy nhược, chảy máu chân răng, lừ đừ"
Sốt xuất huyết,"suy nhược, buồn nôn, xuất huyết dưới da, buồn nôn, mệt mỏi, chán ăn"
Sốt xuất huyết,"cảm thấy mệt mỏi, ớn lạnh, nhức mỏi cơ"
Sốt xuất huyết,"suy nhược, đau quặn bụng, chán ăn, mất ngủ"
Sốt xuất huyết,"cảm thấy khó chịu trong người, mệt mỏi, đau đầu, buồn nôn, xuất huyết dưới da"
Sốt xuất huyết,"tôi bị lừ đừ, nôn mửa, sốt, phát ban"
Sốt xuất huyết,"cảm thấy nhức mỏi cơ, mệt mỏi, mất ngủ, suy nhược"
Sốt xuất huyết,"dấu hiệu buồn nôn, mất ngủ, ớn lạnh, chán ăn, đau quặn bụng, buồn nôn"
Sốt xuất huyết,"lừ đừ, mất ngủ, suy nhược, nôn mửa"
Sốt xuất huyết,"ớn lạnh, chán ăn, lừ đừ, suy nhược, phát ban"
Sốt xuất huyết,"cảm thấy nôn mửa, đau quặn bụng, chán ăn, suy nhược, buồn nôn"
Sốt xuất huyết,"có triệu chứng nhức mỏi cơ, sốt, buồn nôn, mệt mỏi, suy nhược, sốt cao liên tục"
Sốt xuất huyết,"tôi bị nhức mỏi cơ, chán ăn, mệt mỏi, mất ngủ, đau hốc mắt, suy nhược"
Sốt xuất huyết,"lừ đừ, đau đầu, khó chịu trong người, đau quặn bụng, buồn nôn"
Sốt xuất huyết,"ớn lạnh, đau hốc mắt, suy nhược, đau quặn bụng"
Sốt xuất huyết,"mệt mỏi, nôn mửa, khó chịu trong người, chán ăn"
Sốt xuất huyết,"cảm thấy sốt, chán ăn, suy nhược, buồn nôn, xuất huyết dưới da"
Sốt xuất huyết,"mấy hôm nay tôi bị sốt, đau hốc mắt, chán ăn, nôn mửa"
Sốt xuất huyết,"cảm thấy khó chịu trong người, phát ban, đau hốc mắt, suy nhược"
Sốt xuất huyết,"lừ đừ, phát ban, buồn nôn, chảy máu chân răng"
Sốt xuất huyết,"chán ăn, sốt, buồn nôn, mệt mỏi, chóng mặt"
Sốt xuất huyết,"xuất huyết dưới da, đau đầu, nhức mỏi cơ, mất ngủ, lừ đừ"
Sốt xuất huyết,"cháu bị mất ngủ, chán ăn, nhức mỏi cơ, khó chịu trong người, buồn nôn"
Sốt xuất huyết,"bác sĩ ơi tôi bị phát ban, mệt mỏi, sốt cao liên tục, đau đầu"
Sốt xuất huyết,"dấu hiệu đau quặn bụng, đau đầu, mất ngủ, khó chịu trong người"
Sốt xuất huyết,"có triệu chứng sốt, lừ đừ, buồn nôn, đau hốc mắt"
Sốt xuất huyết,"hay bị chán ăn, sốt cao liên tục, đau hốc mắt, mất ngủ"
Sốt xuất huyết,"mấy hôm nay tôi bị xuất huyết dưới da, ớn lạnh, suy nhược, mệt mỏi"
Sốt xuất huyết,"bác sĩ ơi tôi bị ớn lạnh, sốt, chán ăn, khó chịu trong người, chóng mặt"
Sốt xuất huyết,"mình đang sốt, ớn lạnh, buồn nôn, đau hốc mắt, lừ đừ"
Sốt xuất huyết,"dấu hiệu mệt mỏi, chán ăn, sốt, suy nhược, chóng mặt"
Sốt xuất huyết,"đau hốc mắt, chóng mặt, khó chịu trong người, sốt"
Sốt xuất huyết,"suy nhược, buồn nôn, mất ngủ, mệt mỏi, sốt cao liên tục, nhức mỏi cơ"
Sốt xuất huyết,"dấu hiệu mệt mỏi, buồn nôn, nhức mỏi cơ, đau quặn bụng"
Sốt xuất huyết,"tự nhiên bị sốt, mệt mỏi, lừ đừ, xuất huyết dưới da"
Sốt xuất huyết,"mấy hôm nay tôi bị đau đầu, nhức mỏi cơ, chóng mặt, sốt"
Sốt xuất huyết,"chảy máu chân răng, đau hốc mắt, buồn nôn, ớn lạnh, lừ đừ"
Sốt xuất huyết,"khó chịu trong người, buồn nôn, đau quặn bụng, nhức mỏi cơ, sốt"
Sốt xuất huyết,"có triệu chứng buồn nôn, khó chịu trong người, xuất huyết dưới da, nôn mửa, sốt"
Sốt xuất huyết,"có triệu chứng sốt, buồn nôn, lừ đừ, chảy máu chân răng, chán ăn"
Sốt xuất huyết,"đau đầu, mất ngủ, chán ăn, sốt cao liên tục"
Sốt xuất huyết,"tự nhiên bị buồn nôn, buồn nôn, khó chịu trong người, mất ngủ, sốt, chảy máu chân răng"
Sốt xuất huyết,"mất ngủ, đau quặn bụng, ớn lạnh, khó chịu trong người, chán ăn"
Sốt xuất huyết,"có triệu chứng mệt mỏi, chán ăn, lừ đừ, đau hốc mắt, đau quặn bụng"
Sốt xuất huyết,"bác sĩ ơi tôi bị buồn nôn, suy nhược, lừ đừ, mệt mỏi, sốt cao liên tục"
Sốt xuất huyết,"ớn lạnh, chán ăn, đau đầu, buồn nôn"
Sốt xuất huyết,"buồn nôn, sốt, buồn nôn, nhức mỏi cơ, ớn lạnh, đau đầu"
Sốt xuất huyết,"cảm thấy lừ đừ, buồn nôn, khó chịu trong người"
Sốt xuất huyết,"dấu hiệu đau đầu, sốt, chảy máu chân răng, lừ đừ, buồn nôn"
Sốt xuất huyết,"sốt, mệt mỏi, đau hốc mắt, đau đầu"
Sốt xuất huyết,"lừ đừ, đau hốc mắt, nôn mửa, suy nhược, sốt"
Sốt xuất huyết,"cháu bị đau hốc mắt, phát ban, đau đầu, khó chịu trong người, mất ngủ, ớn lạnh"
Sốt xuất huyết,"tôi bị xuất huyết dưới da, chảy máu chân răng, mệt mỏi, khó chịu trong người"
Sốt xuất huyết,"chán ăn, xuất huyết dưới da, chóng mặt, suy nhược, mất ngủ"
Sốt xuất huyết,"đau hốc mắt, sốt, chảy máu chân răng, đau đầu, mất ngủ"
Sốt xuất huyết,"lừ đừ, khó chịu trong người, nôn mửa, sốt, buồn nôn"
Sốt xuất huyết,"dấu hiệu xuất huyết dưới da, mất ngủ, sốt, đau quặn bụng"
Sốt xuất huyết,"sốt, nhức mỏi cơ, phát ban, mệt mỏi"
Sốt xuất huyết,"đau đầu, chảy máu chân răng, sốt cao liên tục, ớn lạnh"
Sốt xuất huyết,"mình đang chán ăn, khó chịu trong người, xuất huyết dưới da, đau đầu"
Sốt xuất huyết,"buồn nôn, lừ đừ, đau đầu, sốt cao liên tục, ớn lạnh"
Sốt xuất huyết,"khó chịu trong người, đau quặn bụng, nhức mỏi cơ, lừ đừ, mất ngủ, đau đầu"
Sốt xuất huyết,"mất ngủ, đau đầu, suy nhược, sốt cao liên tục"
Sốt xuất huyết,"có triệu chứng buồn nôn, sốt, đau đầu, phát ban, lừ đừ"
Sốt xuất huyết,"hay bị sốt, mệt mỏi, đau quặn bụng"
Sốt xuất huyết,"lừ đừ, ớn lạnh, chảy máu chân răng, buồn nôn"
Sốt xuất huyết,"sốt cao liên tục, nôn mửa, chán ăn, đau đầu"
Sốt xuất huyết,"lừ đừ, phát ban, đau quặn bụng, đau đầu, chán ăn"
Sốt xuất huyết,"lừ đừ, mất ngủ, nôn mửa, mệt mỏi, suy nhược"
Sốt xuất huyết,"cháu bị đau quặn bụng, lừ đừ, mất ngủ, khó chịu trong người"
Sốt xuất huyết,"chảy máu chân răng, mất ngủ, đau đầu, buồn nôn, suy nhược, đau hốc mắt"
Sốt xuất huyết,"tự nhiên bị buồn nôn, khó chịu trong người, đau hốc mắt, lừ đừ, chóng mặt"
Sốt xuất huyết,"suy nhược, xuất huyết dưới da, sốt cao liên tục, mất ngủ, chán ăn"
Sốt xuất huyết,"đau đầu, mệt mỏi, buồn nôn, đau hốc mắt"
Sốt xuất huyết,"hay bị nhức mỏi cơ, khó chịu trong người, mệt mỏi, ớn lạnh"
Sốt xuất huyết,"ớn lạnh, mất ngủ, chảy máu chân răng, sốt"
Sốt xuất huyết,"cảm thấy đau hốc mắt, mệt mỏi, chán ăn, khó chịu trong người, mất ngủ"
Sốt xuất huyết,"tôi bị mất ngủ, đau đầu, nôn mửa, nhức mỏi cơ"
Sốt xuất huyết,"chảy máu chân răng, sốt, buồn nôn, đau đầu"
Sốt xuất huyết,"mình đang sốt, chảy máu chân răng, buồn nôn"
Sốt xuất huyết,"cháu bị mất ngủ, chán ăn, sốt cao liên tục, đau quặn bụng"
Sốt xuất huyết,"cảm thấy suy nhược, chảy máu chân răng, lừ đừ, phát ban"
Sốt xuất huyết,"cảm thấy suy nhược, đau hốc mắt, lừ đừ, mất ngủ"
Sốt xuất huyết,"mấy hôm nay tôi bị sốt, lừ đừ, phát ban, chóng mặt"
Sốt xuất huyết,"mấy hôm nay tôi bị đau hốc mắt, lừ đừ, sốt"
Sốt xuất huyết,"dấu hiệu đau hốc mắt, chóng mặt, ớn lạnh, mất ngủ"
Sốt xuất huyết,"sốt, buồn nôn, đau đầu, sốt cao liên tục, đau quặn bụng, ớn lạnh"
Sốt xuất huyết,"tôi bị suy nhược, khó chịu trong người, mệt mỏi, đau đầu, đau quặn bụng, nôn mửa"
Sốt xuất huyết,"chảy máu chân răng, đau đầu, xuất huyết dưới da, chán ăn, mệt mỏi, suy nhược"
Sốt xuất huyết,"sốt, chán ăn, lừ đừ, nhức mỏi cơ"
Sốt xuất huyết,"bác sĩ ơi tôi bị chóng mặt, buồn nôn, lừ đừ"
Sốt xuất huyết,"chán ăn, buồn nôn, đau quặn bụng, khó chịu trong người, lừ đừ"
Sốt xuất huyết,"buồn nôn, phát ban, mệt mỏi, lừ đừ"
Sốt xuất huyết,"chán ăn, khó chịu trong người, chóng mặt, nôn mửa, sốt, suy nhược"
Sốt xuất huyết,"dấu hiệu sốt, đau quặn bụng, suy nhược, sốt cao liên tục, khó chịu trong người"
Sốt xuất huyết,"mấy hôm nay tôi bị mất ngủ, chóng mặt, đau quặn bụng, ớn lạnh, lừ đừ"
Sốt xuất huyết,"nhức mỏi cơ, chảy máu chân răng, sốt, lừ đừ"
Sốt xuất huyết,"dấu hiệu mệt mỏi, suy nhược, lừ đừ, xuất huyết dưới da"
Sốt xuất huyết,"mấy hôm nay tôi bị buồn nôn, nôn mửa, mất ngủ, khó chịu trong người, suy nhược"
Sốt xuất huyết,"mệt mỏi, buồn nôn, chóng mặt, chán ăn, buồn nôn"
Sốt xuất huyết,"ớn lạnh, đau đầu, đau hốc mắt"
Sốt xuất huyết,"mấy hôm nay tôi bị sốt, khó chịu trong người, đau đầu, mệt mỏi, nhức mỏi cơ"
Sốt xuất huyết,"lừ đừ, mất ngủ, sốt, mệt mỏi, đau quặn bụng"
Sốt xuất huyết,"tự nhiên bị khó chịu trong người, nhức mỏi cơ, lừ đừ, chóng mặt"
Sốt xuất huyết,"mấy hôm nay tôi bị buồn nôn, ớn lạnh, đau quặn bụng, đau hốc mắt"
Sốt xuất huyết,"sốt, chảy máu chân răng, buồn nôn, mệt mỏi"
Sốt xuất huyết,"sốt cao liên tục, khó chịu trong người, ớn lạnh, buồn nôn, sốt"
Sốt xuất huyết,"mấy hôm nay tôi bị sốt, chán ăn, sốt cao liên tục, lừ đừ"
Sốt xuất huyết,"tự nhiên bị xuất huyết dưới da, đau hốc mắt, mệt mỏi, ớn lạnh, sốt"
Sốt xuất huyết,"buồn nôn, ớn lạnh, chóng mặt"
Sốt xuất huyết,"khó chịu trong người, suy nhược, đau hốc mắt, đau đầu"
Sốt xuất huyết,"dấu hiệu lừ đừ, mệt mỏi, phát ban, đau đầu, ớn lạnh, xuất huyết dưới da"
Sốt xuất huyết,"tôi bị ớn lạnh, đau đầu, xuất huyết dưới da, suy nhược, lừ đừ"
Sốt xuất huyết,"mấy hôm nay tôi bị đau đầu, xuất huyết dưới da, mệt mỏi, chán ăn, khó chịu trong người"
Sốt xuất huyết,"hay bị lừ đừ, suy nhược, mệt mỏi, đau hốc mắt"
Sốt xuất huyết,"sốt, mệt mỏi, buồn nôn"
Sốt xuất huyết,"tự nhiên bị chóng mặt, nhức mỏi cơ, ớn lạnh, khó chịu trong người"
Sốt xuất huyết,"chảy máu chân răng, lừ đừ, mệt mỏi, buồn nôn"
Sốt xuất huyết,"chảy máu chân răng, đau đầu, lừ đừ"
Sốt xuất huyết,"cháu bị chán ăn, phát ban, chóng mặt, mất ngủ"
Sốt xuất huyết,"cảm thấy buồn nôn, mệt mỏi, đau hốc mắt, khó chịu trong người"
Sốt xuất huyết,"cháu bị xuất huyết dưới da, chóng mặt, ớn lạnh, mất ngủ"
Sốt xuất huyết,"suy nhược, khó chịu trong người, xuất huyết dưới da, buồn nôn, mất ngủ"
Sốt xuất huyết,"bác sĩ ơi tôi bị sốt, nhức mỏi cơ, chán ăn, đau quặn bụng, ớn lạnh, mất ngủ"
Sốt xuất huyết,"hay bị buồn nôn, mất ngủ, mệt mỏi, đau hốc mắt, suy nhược"
Sốt xuất huyết,"hay bị buồn nôn, chảy máu chân răng, lừ đừ"
Sốt xuất huyết,"bác sĩ ơi tôi bị chóng mặt, mệt mỏi, suy nhược, lừ đừ"
Sốt xuất huyết,"hay bị mệt mỏi, buồn nôn, sốt cao liên tục, mất ngủ, đau hốc mắt"
Sốt xuất huyết,"mình đang mệt mỏi, chóng mặt, buồn nôn, lừ đừ, sốt"
Sốt xuất huyết,"cháu bị suy nhược, buồn nôn, sốt cao liên tục, đau đầu"
Sốt xuất huyết,"tôi bị xuất huyết dưới da, sốt, mệt mỏi, đau hốc mắt, đau đầu"
Sốt xuất huyết,"mình đang mất ngủ, chán ăn, khó chịu trong người, buồn nôn, chảy máu chân răng"
Sốt xuất huyết,"bác sĩ ơi tôi bị chóng mặt, chảy máu chân răng"
Sốt xuất huyết,"cảm thấy mất ngủ, mệt mỏi, nhức mỏi cơ, đau đầu, phát ban"
Sốt xuất huyết,"sốt cao liên tục, mất ngủ, xuất huyết dưới da, buồn nôn, mệt mỏi"
Sốt xuất huyết,"tôi bị chóng mặt, phát ban, mệt mỏi, suy nhược, lừ đừ"
Sốt xuất huyết,"mấy hôm nay tôi bị khó chịu trong người, đau quặn bụng, buồn nôn, suy nhược, lừ đừ"
Sốt xuất huyết,"sốt cao liên tục, mất ngủ, buồn nôn, đau hốc mắt"
Sốt xuất huyết,"tôi bị đau đầu, xuất huyết dưới da, đau quặn bụng, sốt"
Sốt xuất huyết,"suy nhược, buồn nôn, sốt cao liên tục, nôn mửa"
Sốt xuất huyết,"suy nhược, đau đầu, nôn mửa, mệt mỏi, ớn lạnh"
Sốt xuất huyết,"có triệu chứng sốt, chóng mặt, đau đầu, buồn nôn, mệt mỏi"
Sốt xuất huyết,"cháu bị khó chịu trong người, nôn mửa, sốt, suy nhược"
Sốt xuất huyết,"hay bị nôn mửa, khó chịu trong người, lừ đừ"
Sốt xuất huyết,"cháu bị nôn mửa, khó chịu trong người, chóng mặt, sốt, mệt mỏi"
Sốt xuất huyết,"tự nhiên bị sốt cao liên tục, xuất huyết dưới da, mệt mỏi, lừ đừ, sốt"
Sốt xuất huyết,"đau hốc mắt, suy nhược, lừ đừ"
Sốt xuất huyết,"mất ngủ, buồn nôn, buồn nôn, suy nhược"
Sốt xuất huyết,"cháu bị ớn lạnh, buồn nôn, sốt, nôn mửa, chán ăn"
Sốt xuất huyết,"mất ngủ, buồn nôn, suy nhược, lừ đừ, buồn nôn"
Sốt xuất huyết,"phát ban, lừ đừ, mệt mỏi, buồn nôn, sốt cao liên tục"
Sốt xuất huyết,"buồn nôn, buồn nôn, sốt, ớn lạnh, xuất huyết dưới da, khó chịu trong người"
Sốt xuất huyết,"nhức mỏi cơ, đau đầu, suy nhược"
Sốt xuất huyết,"suy nhược, ớn lạnh, mất ngủ, chảy máu chân răng, chán ăn"
Sốt xuất huyết,"mình đang buồn nôn, ớn lạnh, nôn mửa, khó chịu trong người, mệt mỏi"
Sốt xuất huyết,"đau quặn bụng, suy nhược, khó chịu trong người, chán ăn, đau hốc mắt"
Sốt xuất huyết,"buồn nôn, chán ăn, mệt mỏi, đau đầu, ớn lạnh"
Sốt xuất huyết,"nhức mỏi cơ, mất ngủ, lừ đừ, ớn lạnh, sốt cao liên tục"
Sốt xuất huyết,"chóng mặt, suy nhược, lừ đừ, nôn mửa"
Sốt xuất huyết,"mất ngủ, chóng mặt, phát ban, ớn lạnh"
Sốt xuất huyết,"buồn nôn, đau đầu, ớn lạnh"
Sốt xuất huyết,"bác sĩ ơi tôi bị khó chịu trong người, buồn nôn, sốt, chán ăn, sốt cao liên tục, suy nhược"
Sốt xuất huyết,"tôi bị chảy máu chân răng, sốt cao liên tục, mệt mỏi, ớn lạnh, đau đầu"
Sốt xuất huyết,"chán ăn, đau hốc mắt, mất ngủ, sốt cao liên tục"
Sốt xuất huyết,"khó chịu trong người, mất ngủ, chảy máu chân răng, chán ăn, sốt"
Sốt xuất huyết,"khó chịu trong người, chán ăn, buồn nôn, chảy máu chân răng"
Sốt xuất huyết,"mình đang khó chịu trong người, lừ đừ, mệt mỏi, chảy máu chân răng"
Sốt xuất huyết,"đau hốc mắt, suy nhược, ớn lạnh, nhức mỏi cơ"
Sốt xuất huyết,"phát ban, mệt mỏi, đau hốc mắt, chán ăn"
Sốt xuất huyết,"mất ngủ, suy nhược, sốt cao liên tục, đau hốc mắt"
Sốt xuất huyết,"chóng mặt, sốt cao liên tục, mệt mỏi, chán ăn"
Sốt xuất huyết,"có triệu chứng khó chịu trong người, nôn mửa, nhức mỏi cơ, suy nhược"
Sốt xuất huyết,"tự nhiên bị chóng mặt, ớn lạnh, đau đầu"
Sốt xuất huyết,"chảy máu chân răng, khó chịu trong người, suy nhược"
Sốt xuất huyết,"cảm thấy sốt cao liên tục, mất ngủ, khó chịu trong người, buồn nôn, đau đầu"
Sốt xuất huyết,"dấu hiệu nôn mửa, đau đầu, chán ăn, buồn nôn, mệt mỏi"
Sốt xuất huyết,"bác sĩ ơi tôi bị mệt mỏi, chán ăn, đau quặn bụng"
Sốt xuất huyết,"tự nhiên bị đau quặn bụng, khó chịu trong người, sốt, suy nhược"
Sốt xuất huyết,"bác sĩ ơi tôi bị đau quặn bụng, sốt, khó chịu trong người, chóng mặt"
Sốt xuất huyết,"khó chịu trong người, đau quặn bụng, lừ đừ, chóng mặt"
Sốt xuất huyết,"ớn lạnh, xuất huyết dưới da, buồn nôn, mệt mỏi"
Sốt xuất huyết,"tự nhiên bị mất ngủ, suy nhược, sốt cao liên tục, đau hốc mắt"
Sốt xuất huyết,"tự nhiên bị lừ đừ, buồn nôn, phát ban, mệt mỏi, khó chịu trong người"
Sốt xuất huyết,"tự nhiên bị suy nhược, chán ăn, chóng mặt"
Sốt xuất huyết,"cảm thấy mệt mỏi, đau đầu, chán ăn, chảy máu chân răng"
Sốt xuất huyết,"suy nhược, sốt, xuất huyết dưới da, đau hốc mắt, đau đầu, lừ đừ"
Sốt xuất huyết,"hay bị khó chịu trong người, nhức mỏi cơ, đau hốc mắt, sốt, ớn lạnh, buồn nôn"
Sốt xuất huyết,"cháu bị chán ăn, ớn lạnh, lừ đừ, buồn nôn, phát ban"
Sốt xuất huyết,"cháu bị buồn nôn, ớn lạnh, nhức mỏi cơ, sốt"
Sốt xuất huyết,"dấu hiệu nhức mỏi cơ, sốt, mệt mỏi, xuất huyết dưới da"
Sốt xuất huyết,"tôi bị sốt, mệt mỏi, ớn lạnh, chóng mặt, chán ăn"
Sốt xuất huyết,"buồn nôn, suy nhược, khó chịu trong người, mất ngủ, đau hốc mắt"
Sốt xuất huyết,"bác sĩ ơi tôi bị phát ban, chán ăn, khó chịu trong người, suy nhược, buồn nôn, đau đầu"
Sốt xuất huyết,"hay bị mệt mỏi, suy nhược, nôn mửa, sốt, đau đầu"
Sốt xuất huyết,"có triệu chứng mất ngủ, chóng mặt, ớn lạnh, xuất huyết dưới da"
Sốt xuất huyết,"đau quặn bụng, sốt, xuất huyết dưới da, khó chịu trong người"
Sốt xuất huyết,"mất ngủ, đau quặn bụng, đau đầu, mệt mỏi, chảy máu chân răng, buồn nôn"
Sốt xuất huyết,"nôn mửa, ớn lạnh, suy nhược, mất ngủ"
Sốt xuất huyết,"bác sĩ ơi tôi bị lừ đừ, ớn lạnh, chán ăn, chóng mặt"
Sốt xuất huyết,"sốt, buồn nôn, buồn nôn, đau đầu, lừ đừ, nhức mỏi cơ"
Sốt xuất huyết,"mất ngủ, buồn nôn, sốt, ớn lạnh, nôn mửa, xuất huyết dưới da"
Sốt xuất huyết,"chảy máu chân răng, xuất huyết dưới da, buồn nôn, lừ đừ, suy nhược, mệt mỏi"
Sốt xuất huyết,"bác sĩ ơi tôi bị chán ăn, mất ngủ, suy nhược, chảy máu chân răng"
Sốt xuất huyết,"lừ đừ, xuất huyết dưới da, ớn lạnh"
Sốt xuất huyết,"khó chịu trong người, xuất huyết dưới da, ớn lạnh, mất ngủ, suy nhược"
Sốt xuất huyết,"mất ngủ, chảy máu chân răng, buồn nôn, phát ban, khó chịu trong người"
Sốt xuất huyết,"cháu bị mất ngủ, mệt mỏi, buồn nôn, chán ăn, buồn nôn"
Sốt xuất huyết,"suy nhược, đau đầu, phát ban, khó chịu trong người"
Sốt xuất huyết,hay bị xuất huyết dưới da
Sốt xuất huyết,"có triệu chứng chóng mặt, lừ đừ, ớn lạnh, mất ngủ, suy nhược"
Sốt xuất huyết,"tôi bị chán ăn, đau hốc mắt, suy nhược, mất ngủ"
Sốt xuất huyết,"mất ngủ, ớn lạnh, phát ban, đau đầu, chán ăn"
Sốt xuất huyết,"cảm thấy suy nhược, sốt, buồn nôn, chóng mặt"
Sốt xuất huyết,"lừ đừ, chóng mặt, khó chịu trong người, đau đầu, chán ăn, xuất huyết dưới da"
Sốt xuất huyết,"mệt mỏi, đau đầu, chán ăn, nhức mỏi cơ, ớn lạnh"
Sốt xuất huyết,"mình đang xuất huyết dưới da, đau đầu, nhức mỏi cơ, mất ngủ, lừ đừ"
Sốt xuất huyết,"mình đang lừ đừ, xuất huyết dưới da, mệt mỏi, buồn nôn, suy nhược, mất ngủ"
Sốt xuất huyết,"lừ đừ, suy nhược, phát ban, chóng mặt"
Sốt xuất huyết,"mệt mỏi, đau đầu, ớn lạnh, đau quặn bụng"
Sốt xuất huyết,"tôi bị sốt cao liên tục, mất ngủ, suy nhược, buồn nôn"
Sốt xuất huyết,"chán ăn, buồn nôn, lừ đừ, buồn nôn, sốt"
Sốt xuất huyết,"cảm thấy mệt mỏi, đau đầu, ớn lạnh, chán ăn, buồn nôn"
Sốt xuất huyết,"cảm thấy đau đầu, mất ngủ, đau quặn bụng"
Sốt xuất huyết,"tự nhiên bị mất ngủ, ớn lạnh, đau quặn bụng, suy nhược, sốt cao liên tục"
Sốt xuất huyết,"buồn nôn, khó chịu trong người, sốt cao liên tục, đau đầu, ớn lạnh, chán ăn"
Sốt xuất huyết,"đau hốc mắt, mệt mỏi, chán ăn, đau đầu"
Sốt xuất huyết,"cháu bị chảy máu chân răng, mất ngủ, suy nhược, ớn lạnh, đau hốc mắt, khó chịu trong người"
Sốt xuất huyết,"buồn nôn, nôn mửa, buồn nôn, lừ đừ, đau đầu"
Sốt xuất huyết,"buồn nôn, mất ngủ, buồn nôn, suy nhược, khó chịu trong người, sốt cao liên tục"
Sốt xuất huyết,"mình đang mất ngủ, chảy máu chân răng, nhức mỏi cơ, suy nhược, đau đầu"
Sốt xuất huyết,"phát ban, nôn mửa"
Sốt xuất huyết,"cảm thấy nôn mửa, phát ban, sốt, chán ăn"
Sốt xuất huyết,"chảy máu chân răng, sốt, sốt cao liên tục, khó chịu trong người, mệt mỏi"
Sốt xuất huyết,"tự nhiên bị đau đầu, buồn nôn, chán ăn, xuất huyết dưới da, ớn lạnh"
Sốt xuất huyết,"nôn mửa, chán ăn, đau đầu, lừ đừ"
Sốt xuất huyết,"hay bị buồn nôn, xuất huyết dưới da, sốt, suy nhược, chóng mặt, chán ăn"
Sốt xuất huyết,"mấy hôm nay tôi bị xuất huyết dưới da, đau quặn bụng"
Sốt xuất huyết,"mất ngủ, chán ăn, mệt mỏi, khó chịu trong người, phát ban"
Sốt xuất huyết,"tôi bị khó chịu trong người, nôn mửa, sốt"
